date,interval,q0_kwh,active_kwh,emergency_kwh,price
2025-03-20,10:00-10:10,0.0,0.0,0.0,0.948
2025-03-20,12:00-12:10,619.3807138888885,619.3807138888885,0.0,0.4519
2025-03-20,14:00-14:10,0.0,0.0,0.0,0.9351
2025-03-20,16:00-16:10,676.9121222222223,676.9121222222223,0.0,0.8767
2025-03-20,18:00-18:10,0.0,0.0,0.0,1.2993
2025-03-20,20:00-20:10,758.9197000000001,758.9197000000001,0.0,1.2789
2025-06-21,10:00-10:10,0.0,0.0,0.0,0.6702
2025-06-21,12:00-12:10,0.0,0.0,0.0,0.2473
2025-06-21,14:00-14:10,0.0,0.0,0.0,0.7993
2025-06-21,16:00-16:10,249.96202777777785,249.96202777777785,0.0,0.5744
2025-06-21,18:00-18:10,527.4171833333334,527.4171833333334,0.0,1.1314
2025-06-21,20:00-20:10,0.0,0.0,0.0,1.1611
2025-09-23,10:00-10:10,21.226157638889028,21.226157638889028,0.0,0.9839
2025-09-23,12:00-12:10,469.4545055555552,469.4545055555552,0.0,0.3481
2025-09-23,14:00-14:10,40.73350555555544,40.73350555555544,0.0,0.9422
2025-09-23,16:00-16:10,627.4344888888888,627.4344888888888,0.0,0.9325
2025-09-23,18:00-18:10,0.0,0.0,0.0,1.3273
2025-09-23,20:00-20:10,497.81516527777796,497.81516527777796,0.0,1.2687
2025-12-21,10:00-10:10,0.0,0.0,0.0,1.4027
2025-12-21,12:00-12:10,1031.5581055555556,1031.5581055555556,0.0,0.6936
2025-12-21,14:00-14:10,0.0,0.0,0.0,1.3689
2025-12-21,16:00-16:10,856.4760333333335,856.4760333333335,0.0,0.98
2025-12-21,18:00-18:10,747.9427999999999,747.9427999999999,0.0,1.2957
2025-12-21,20:00-20:10,0.0,0.0,0.0,1.5137
