date,issue_hour,t,interval,forecast_load_kwh,forecast_pv_kwh,forecast_price,objective_price,margin_kwh,reserve_grid_kwh,q0_kwh,previous_active_kwh,new_active_kwh,planned_charge_kwh,planned_discharge_kwh,planned_end_soc_kwh,reserve_slack_soc_kwh
2025-11-01,0,0,0:00-0:10,379.20731666666666,0.0,0.32280000000000003,0.3101379464285715,24.783233333333328,54.717625,1157.0399206618633,1157.0399206618633,1157.0399206618633,753.0493706618633,0.0,7507.391625771605,0.0
2025-11-01,0,1,0:10-0:20,386.2202333333333,0.0,0.33470000000000005,0.32001294642857153,23.562299999999937,73.59758333333335,409.7825333333332,409.7825333333332,409.7825333333332,0.0,0.0,7507.391625771605,0.0
2025-11-01,0,2,0:20-0:30,430.3733333333333,0.0,0.34592500000000004,0.33104821428571435,19.311666666666724,62.77365833333303,449.685,449.685,449.685,0.0,0.0,7507.391625771605,0.0
2025-11-01,0,3,0:30-0:40,430.1555166666667,0.0,0.33992500000000003,0.3260535714285715,14.377483333333316,65.58148749999994,444.533,444.533,444.533,0.0,0.0,7507.391625771605,0.0
2025-11-01,0,4,0:40-0:50,421.9477499999999,0.0,0.32757499999999995,0.31427410714285703,14.940866666666693,61.13012499999992,436.8886166666666,436.8886166666666,436.8886166666666,0.0,0.0,7507.391625771605,0.0
2025-11-01,0,5,0:50-1:00,420.615,0.0,0.320875,0.30803080357142854,17.953333333333376,56.296108333333336,1271.9016666666666,1271.9016666666666,1271.9016666666666,833.3333333333333,0.0,8257.391625771605,0.0
2025-11-01,0,6,1:00-1:10,407.09431666666666,0.0,0.32627500000000004,0.31561785714285717,23.679666666666662,50.26873333333339,430.7739833333333,430.7739833333333,430.7739833333333,0.0,0.0,8257.391625771605,0.0
2025-11-01,0,7,1:10-1:20,431.538,0.0,0.35015,0.34267544642857134,23.081783333333306,59.900345833333375,454.6197833333333,454.6197833333333,454.6197833333333,0.0,0.0,8257.391625771605,0.0
2025-11-01,0,8,1:20-1:30,476.9483333333333,0.0,0.36605000000000004,0.3609982142857143,22.446666666666715,49.37875833333318,499.39500000000004,499.39500000000004,499.39500000000004,0.0,0.0,8257.391625771605,0.0
2025-11-01,0,9,1:30-1:40,469.23274999999995,0.0,0.338175,0.33334419642857144,25.85338333333334,48.132524999999916,495.0861333333333,495.0861333333333,495.0861333333333,0.0,0.0,8257.391625771605,0.0
