date,issue_hour,t,interval,forecast_load_kwh,forecast_pv_kwh,forecast_price,objective_price,margin_kwh,reserve_grid_kwh,q0_kwh,previous_active_kwh,new_active_kwh,planned_charge_kwh,planned_discharge_kwh,planned_end_soc_kwh,reserve_slack_soc_kwh
2025-05-01,0,0,0:00-0:10,583.8915833333333,0.0,0.41907500000000003,0.4215848214285715,22.935266666666735,22.992870833333313,1440.1601833333334,1440.1601833333334,1440.1601833333334,833.3333333333333,0.0,7113.305241850136,0.0
2025-05-01,0,1,0:10-0:20,558.7886833333333,0.0,0.41947500000000004,0.42449821428571427,23.01215000000002,28.266895833333194,930.323053465555,930.323053465555,930.323053465555,348.52222013222166,0.0,7426.975239969135,0.0
2025-05-01,0,2,0:20-0:30,547.1516666666666,0.0,0.4368,0.4375424107142858,28.14666666666676,39.02130416666655,575.2983333333334,575.2983333333334,575.2983333333334,0.0,0.0,7426.975239969135,0.0
2025-05-01,0,3,0:30-0:40,595.6524,0.0,0.457975,0.4592160714285715,24.51509999999996,33.44594166666673,620.1674999999999,620.1674999999999,620.1674999999999,0.0,0.0,7426.975239969135,0.0
2025-05-01,0,4,0:40-0:50,597.9853666666667,0.0,0.44830000000000003,0.45148437500000016,19.731333333333282,33.37976666666664,617.7167,617.7167,617.7167,0.0,0.0,7426.975239969135,0.0
2025-05-01,0,5,0:50-1:00,558.605,0.0,0.423925,0.4262053571428571,17.6400000000001,32.192083333333244,576.2450000000001,576.2450000000001,576.2450000000001,0.0,0.0,7426.975239969135,0.0
2025-05-01,0,6,1:00-1:10,584.6998333333333,0.0,0.43415000000000004,0.4334982142857144,20.982883333333348,29.574591666666734,605.6827166666667,605.6827166666667,605.6827166666667,0.0,0.0,7426.975239969135,0.0
2025-05-01,0,7,1:10-1:20,600.7031999999999,0.0,0.440075,0.4433147321428571,28.87288333333322,26.86052083333341,629.5760833333331,629.5760833333331,629.5760833333331,0.0,0.0,7426.975239969135,0.0
2025-05-01,0,8,1:20-1:30,579.9466666666666,0.0,0.42584999999999995,0.4327232142857139,21.410000000000082,20.020062499999938,601.3566666666667,601.3566666666667,601.3566666666667,0.0,0.0,7426.975239969135,0.0
2025-05-01,0,9,1:30-1:40,578.3484666666666,0.0,0.42010000000000003,0.4156683035714285,14.985849999999914,51.70631249999997,1426.6676499999999,1426.6676499999999,1426.6676499999999,833.3333333333333,0.0,8176.975239969135,0.0
2025-05-01,0,10,1:40-1:50,596.942,0.0,0.444375,0.4386549107142858,22.0161333333333,41.61370833333315,618.9581333333333,618.9581333333333,618.9581333333333,0.0,0.0,8176.975239969135,0.0
2025-05-01,0,11,1:50-2:00,614.8566666666666,0.0,0.467625,0.472525,25.723333333333358,54.09724583333325,640.5799999999999,640.5799999999999,640.5799999999999,0.0,0.0,8176.975239969135,0.0
2025-05-01,0,12,2:00-2:10,612.8457333333333,0.0,0.43984999999999996,0.443811607142857,28.12720000000013,41.327524999999966,640.9729333333335,640.9729333333335,640.9729333333335,0.0,0.0,8176.975239969135,0.0
2025-05-01,0,13,2:10-2:20,605.8480666666667,0.0,0.431575,0.43023571428571433,22.100899999999967,47.36144166666688,627.9489666666666,627.9489666666666,627.9489666666666,0.0,0.0,8176.975239969135,0.0
