日期,区间编号,区间,右端点分钟,电价_元每kWh,实际负载_kW,实际光伏_kW,预测负载_kW,预测光伏_kW,实际负载_kWh,实际光伏_kWh,预测净负荷_kWh,实际净负荷_kWh,净负荷预测误差_kWh,计划风险增量_kWh,净负荷预测下界_kWh,净负荷预测上界_kWh,计划购电量_kWh,计划充电量_kWh,计划放电量_kWh,计划SOC_kWh,计划剩余电量_kWh,实际期初SOC_kWh,实际充电量_kWh,实际放电量_kWh,实际SOC_kWh,紧急购电量_kWh,总剩余电量_kWh,弃光量_kWh,未利用外网电量_kWh,正向瞬时备用_kWh,反向瞬时备用_kWh,正向累计备用_kWh,反向累计备用_kWh,正向备用缺口_kWh,反向备用缺口_kWh
2025-02-01,1,0:00-0:10,10,0.4248,2532.1822,0.0,2811.9379327405595,0.0,422.0303666666667,0.0,468.65632212342655,422.0303666666667,-46.62595545675987,22.23693336265444,374.637791032932,513.3075847496978,0.0,0.0,810.9190040697168,9898.978884366981,320.0257485836355,10800.0,0.0,422.0303666666667,10331.07737037037,0.0,0.0,0.0,0.0,22.41432926361682,94.01853109049452,1260.322114949542,1567.1093910934355,0.0,509.3773363510736
2025-02-01,2,0:10-0:20,20,0.4245,2492.4439,0.0,2822.1596218996165,0.0,415.4073166666667,0.0,470.3599369832694,415.4073166666667,-54.95262031660269,20.09001507415195,387.82064294184136,514.7534058905968,34.14636270027671,0.0,456.30358935714463,9391.974896192376,0.0,10331.07737037037,0.0,381.26095396639,9907.454088185494,0.0,0.0,0.0,0.0,24.30345383317544,82.53929404142805,1291.218312281915,1564.472337564027,0.0,0.0
2025-02-01,3,0:20-0:30,30,0.4269,2464.3,0.0,2850.753119685125,0.0,410.7166666666667,0.0,475.12551994752084,410.7166666666667,-64.40885328085415,22.23693336265444,390.7415647184968,519.7767825737922,497.3624533101753,0.0,0.0,9391.974896192376,0.0,9907.454088185494,86.64578664350859,0.0,9985.435296164651,0.0,0.0,0.0,0.0,22.41432926361682,84.38395522902402,1322.1145096142877,1561.8352840346186,0.0,0.0
2025-02-01,4,0:30-0:40,40,0.4272,2581.7688,0.0,2883.2735562683783,0.0,430.29479999999995,0.0,480.54559271139635,430.29479999999995,-50.2507927113964,23.069073442854688,409.4855357190348,523.3737186075452,503.61466615425104,0.0,0.0,9391.974896192376,0.0,9985.435296164651,73.31986615425109,0.0,10051.423175703478,0.0,0.0,0.0,0.0,19.759052453294203,71.06005699236158,1350.025623609843,1545.598100226445,0.0,0.0
2025-02-01,5,0:40-0:50,50,0.4271,2546.4635,0.0,2920.986878778391,0.0,424.4105833333333,0.0,486.8311464630652,424.4105833333333,-62.420563129731875,28.387412827646585,415.87408480449665,537.6328885543285,515.2185592907117,0.0,0.0,9391.974896192376,0.0,10051.423175703478,90.8079759573784,0.0,10133.150354065117,0.0,0.0,0.0,0.0,22.41432926361682,70.95706165856853,1419.8743359631972,1507.7199832510453,0.0,0.0
2025-02-01,6,0:50-1:00,60,0.4285,2436.31,0.0,2912.4784234836425,0.0,406.0516666666666,0.0,485.41307058060704,406.0516666666666,-79.36140391394042,31.66315091492595,414.35301358824546,543.268799898267,517.076221495533,0.0,0.0,9391.974896192376,0.0,10133.150354065117,111.02455482886637,0.0,10233.072453411098,0.0,0.0,0.0,0.0,26.192578402734057,71.06005699236158,1483.558744431634,1466.1408908561507,0.0,0.0
2025-02-01,7,1:00-1:10,70,0.4311,2620.5011,0.0,3015.06760126446,0.0,436.7501833333333,0.0,502.51126687741,436.7501833333333,-65.76108354407666,34.48174535121916,420.32125651956915,559.033390969837,536.9930122286291,0.0,0.0,9391.974896192376,0.0,10233.072453411098,100.24282889529582,0.0,10323.290999416864,0.0,0.0,0.0,0.0,22.040378741207917,82.1900103578408,1510.8352096206318,1429.0380097781872,0.0,0.0
2025-02-01,8,1:10-1:20,80,0.4302,2710.7861,0.0,3007.4849506594473,0.0,451.7976833333333,0.0,501.2474917765745,451.7976833333333,-49.44980844324124,34.48174535121916,430.290430118006,565.8070237185416,535.7292371277937,0.0,0.0,9391.974896192376,0.0,10323.290999416864,83.9315537944604,0.0,10398.829397831878,0.0,0.0,0.0,0.0,30.077786590747962,70.95706165856853,1555.9299933582224,1387.9662471738177,0.0,0.0
2025-02-01,9,1:20-1:30,90,0.4279,2676.48,0.0,2906.5047410982484,0.0,446.08,0.0,484.41745684970806,446.08,-38.337456849708076,31.66315091492595,420.3999766962226,548.1235246214122,516.080607764634,0.0,0.0,9391.974896192376,0.0,10398.829397831878,70.00060776463403,0.0,10461.829944820049,0.0,0.0,0.0,0.0,32.04291685677822,64.01748015348545,1631.9732662348713,1336.6178633022698,0.0,0.0
2025-02-01,10,1:30-1:40,100,0.4312,2830.598,0.0,3045.905036281648,0.0,471.7663333333333,0.0,507.65083938027465,471.7663333333333,-35.88450604694134,31.66315091492595,425.4608290224338,572.2881080606116,539.3139902952006,0.0,0.0,9391.974896192376,0.0,10461.829944820049,67.54765696186729,0.0,10522.62283608573,0.0,0.0,0.0,0.0,32.97411776541105,82.1900103578408,1722.1708221892316,1336.6178633022698,0.0,0.0
2025-02-01,11,1:40-1:50,110,0.4333,2688.1558,0.0,3101.1769831135794,0.0,448.02596666666665,0.0,516.8628305189299,448.02596666666665,-68.8368638522632,36.947100799412055,436.4729320382245,585.8528481751201,553.8099313183419,0.0,0.0,9391.974896192376,0.0,10522.62283608573,105.78396465167526,0.0,10617.828404272237,0.0,0.0,0.0,0.0,32.04291685677822,80.38989848070534,1841.05434678944,1336.6178633022698,0.0,0.0
2025-02-01,12,1:50-2:00,120,0.4311,2384.42,0.0,3054.4353350274378,0.0,397.4033333333333,0.0,509.0725558379063,397.4033333333333,-111.66922250457299,36.947100799412055,445.4899354478854,578.0625734940966,546.0196566373183,0.0,0.0,9391.974896192376,0.0,10617.828404272237,148.61632330398504,0.0,10751.583095245824,0.0,0.0,0.0,0.0,32.04291685677822,63.58262039002091,1856.6058255775413,1361.8152491266446,0.0,0.0
2025-02-01,13,2:00-2:10,130,0.4293,2604.5438,0.0,3069.3892141715887,0.0,434.0906333333333,0.0,511.5648690285981,434.0906333333333,-77.47423569526478,36.947100799412055,445.7100220409754,580.5548866847884,548.5119698280101,0.0,0.0,9391.974896192376,0.0,10751.583095245824,53.79656083797373,0.0,10800.0,0.0,60.62477565670311,0.0,60.62477565670311,32.04291685677822,65.8548469876227,1955.0207192271862,1393.6118779338594,0.0,0.0
2025-02-01,14,2:10-2:20,140,0.4324,2943.3655,0.0,3124.6281652067382,0.0,490.5609166666666,0.0,520.7713608677897,490.5609166666666,-30.21044420112304,36.947100799412055,454.916513880167,592.3478757253929,557.7184616672017,0.0,0.0,9391.974896192376,0.0,10800.0,0.0,0.0,10800.0,0.0,67.1575450005351,0.0,67.1575450005351,34.62941405819112,65.8548469876227,2166.9512274875074,1445.8974211552909,0.0,0.0
2025-02-01,15,2:20-2:30,150,0.4367,3019.32,0.0,3132.9494970526084,0.0,503.22,0.0,522.158249508768,503.22,-18.938249508767967,36.947100799412055,459.0394003536384,602.2972260897204,435.50867825865294,0.0,123.59667204952711,9254.64526058179,0.0,10800.0,0.0,67.71132174134709,10724.76519806517,0.0,0.0,0.0,0.0,43.19187578154043,63.11884915512957,2392.30949444662,1514.4298529226025,0.0,0.0
2025-02-01,16,2:30-2:40,160,0.4348,2844.4369,0.0,3120.725193480639,0.0,474.07281666666665,0.0,520.1208655801065,474.07281666666665,-46.04804891343986,37.13435550781128,457.00201642497694,600.4470968694582,557.2552210879178,0.0,0.0,9254.64526058179,0.0,10724.76519806517,83.18240442125114,0.0,10799.629362044296,0.0,0.0,0.0,0.0,43.19187578154043,63.11884915512957,2578.9727567216532,1583.3941825151437,0.0,0.0
2025-02-01,17,2:40-2:50,170,0.4335,2768.3064,0.0,3141.470509899095,0.0,461.38439999999997,0.0,523.5784183165158,461.38439999999997,-62.19401831651584,31.177277022064345,457.7235713288931,615.225907279034,554.7556953385802,0.0,0.0,9254.64526058179,0.0,10799.629362044296,0.4118199507825516,0.0,10800.0,0.0,92.95947538779762,0.0,92.95947538779762,60.47021194045385,65.8548469876227,2789.8398454787557,1652.3729881938907,0.0,0.0
2025-02-01,18,2:50-3:00,180,0.4357,2861.65,0.0,3208.3073709470627,0.0,476.94166666666666,0.0,534.7178951578437,476.94166666666666,-57.77622849117705,42.35599774505329,466.2019169298195,634.1389886573256,577.073892902897,0.0,0.0,9254.64526058179,0.0,10800.0,0.0,0.0,10800.0,0.0,100.13222623623034,0.0,100.13222623623034,57.06509575442868,68.51597822802421,2939.5192154451483,1717.0608215757875,0.0,0.0
2025-02-01,19,3:00-3:10,190,0.4374,2900.3973,0.0,3230.214277877538,0.0,483.39955,0.0,538.3690463129229,483.39955,-54.969496312922956,42.56291762680644,467.0273665864821,626.7556317852661,450.98086513823455,0.0,129.95109880149485,9110.255150802352,0.0,10800.0,0.0,32.418684861765456,10763.979239042483,0.0,0.0,0.0,0.0,45.823667845536704,71.34167972644079,3020.9933328884517,1769.1161069302548,0.0,0.0
2025-02-01,20,3:10-3:20,200,0.4371,2919.6115,0.0,3232.5664565233683,0.0,486.6019166666666,0.0,538.761076087228,486.6019166666666,-52.15915942056142,46.45948387174906,465.42977707854163,631.0442278045139,585.2205599589771,0.0,0.0,9110.255150802352,0.0,10763.979239042483,40.023067730574745,0.0,10800.0,0.0,58.595575561735735,0.0,58.595575561735735,45.823667845536704,73.33129900868639,3024.0,1804.874684515081,0.0,0.0
