date,t,start_time,end_time,interval,price,forecast_price_0,objective_price_0,q0_kwh,active_kwh,load_kwh,pv_kwh,charge_kwh,discharge_kwh,start_soc_kwh,end_soc_kwh,emergency_kwh,spill_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_penalty,refund,emergency_cost,total_cost,storage_loss_kwh,forecast_plan_cost
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:10:00,0:00-0:10,0.3281,0.34257499999999996,0.3394013440860214,1319.5373666666665,1319.5373666666665,422.0303666666667,0.0,833.3333333333333,0.0,7351.026421393297,8101.026421393297,0.0,64.17366666666658,0.0,0.0,432.9402100033333,0.0,0.0,0.0,0.0,432.9402100033333,83.3333333333333,452.0405133858332
2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,0:10-0:20,0.3257,0.35675,0.3549540322580644,475.2642666666665,475.2642666666665,415.4073166666667,0.0,59.85694999999981,0.0,8101.026421393297,8154.897676393297,0.0,0.0,0.0,0.0,154.7935716533333,0.0,0.0,0.0,0.0,154.7935716533333,5.98569499999998,169.55052713333328
2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,0:20-0:30,0.3041,0.339675,0.33224704301075264,1312.3283333333331,1312.3283333333331,410.7166666666667,0.0,833.3333333333333,0.0,8154.897676393297,8904.897676393297,0.0,68.2783333333332,0.0,0.0,399.07904616666656,0.0,0.0,0.0,0.0,399.07904616666656,83.3333333333333,445.76512662499994
2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,0:30-0:40,0.3126,0.330125,0.3254413978494624,1351.769033333333,1351.769033333333,430.29479999999995,0.0,833.3333333333333,0.0,8904.897676393297,9654.897676393297,0.0,88.14089999999987,0.0,0.0,422.5629998199999,0.0,0.0,0.0,0.0,422.5629998199999,83.3333333333333,446.2527521291666
2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,0:40-0:50,0.3286,0.352175,0.3508862903225806,519.8043833333334,519.8043833333334,424.4105833333333,0.0,95.39380000000006,0.0,9654.897676393297,9740.752096393297,0.0,0.0,0.0,0.0,170.80772036333335,0.0,0.0,0.0,0.0,170.80772036333335,9.539380000000003,183.06210870041667
2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,0:50-1:00,0.3438,0.38130000000000003,0.3820303763440861,522.73665,522.73665,406.0516666666666,0.0,116.68498333333343,0.0,9740.752096393297,9845.768581393297,0.0,0.0,0.0,0.0,179.71686027,0.0,0.0,0.0,0.0,179.71686027,11.668498333333341,199.31948464500005
2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,1:00-1:10,0.3704,0.37044999999999995,0.3772999999999999,522.7362333333333,522.7362333333333,436.7501833333333,0.0,85.98604999999998,0.0,9845.768581393297,9923.156026393297,0.0,0.0,0.0,0.0,193.62150082666665,0.0,0.0,0.0,0.0,193.62150082666665,8.598604999999996,193.6476376383333
2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,1:10-1:20,0.3746,0.357475,0.3643911290322581,527.3798361111112,527.3798361111112,451.7976833333333,0.0,75.58215277777794,0.0,9923.156026393297,9991.179963893297,0.0,0.0,0.0,0.0,197.55648660722227,0.0,0.0,0.0,0.0,197.55648660722227,7.558215277777792,188.52510691381949
2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,1:20-1:30,0.3606,0.362625,0.3648991935483872,507.76166666666677,507.76166666666677,446.08,0.0,61.681666666666786,0.0,9991.179963893297,10046.693463893298,0.0,0.0,0.0,0.0,183.09885700000004,0.0,0.0,0.0,0.0,183.09885700000004,6.168166666666677,184.12707437500003
2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,1:30-1:40,0.3582,0.367375,0.37149758064516136,537.7638166666666,537.7638166666666,471.7663333333333,0.0,65.99748333333326,0.0,10046.693463893298,10106.091198893298,0.0,0.0,0.0,0.0,192.62699912999997,0.0,0.0,0.0,0.0,192.62699912999997,6.599748333333325,197.56098214791663
