date,interval,q0_kwh,active_kwh,emergency_kwh,price
2025-03-20,10:00-10:10,0.0,0.0,0.0,0.948
2025-03-20,12:00-12:10,622.4072690476191,622.4072690476191,0.0,0.4519
2025-03-20,14:00-14:10,0.0,0.0,0.0,0.9351
2025-03-20,16:00-16:10,494.96212142857155,494.96212142857155,0.0,0.8767
2025-03-20,18:00-18:10,0.0,0.0,0.0,1.2993
2025-03-20,20:00-20:10,758.9197000000001,758.9197000000001,0.0,1.2789
2025-06-21,10:00-10:10,0.0,0.0,0.0,0.6702
2025-06-21,12:00-12:10,0.0,0.0,0.0,0.2473
2025-06-21,14:00-14:10,0.0,0.0,0.0,0.7993
2025-06-21,16:00-16:10,244.4135904761904,244.4135904761904,0.0,0.5744
2025-06-21,18:00-18:10,509.9956047619049,509.9956047619049,0.0,1.1314
2025-06-21,20:00-20:10,0.0,0.0,0.0,1.1611
2025-09-23,10:00-10:10,0.0,0.0,0.0,0.9839
2025-09-23,12:00-12:10,526.3484333333331,526.3484333333331,0.0,0.3481
2025-09-23,14:00-14:10,0.0,0.0,0.0,0.9422
2025-09-23,16:00-16:10,573.257564285714,573.257564285714,0.0,0.9325
2025-09-23,18:00-18:10,0.0,0.0,0.0,1.3273
2025-09-23,20:00-20:10,463.89316488095284,463.89316488095284,0.0,1.2687
2025-12-21,10:00-10:10,0.0,0.0,0.0,1.4027
2025-12-21,12:00-12:10,1039.5569,1039.5569,0.0,0.6936
2025-12-21,14:00-14:10,0.0,0.0,0.0,1.3689
2025-12-21,16:00-16:10,848.5658761904762,848.5658761904762,0.0,0.98
2025-12-21,18:00-18:10,747.9950976190476,747.9950976190476,0.0,1.2957
2025-12-21,20:00-20:10,0.0,0.0,0.0,1.5137
